Local,Densidade_demográfica,Salário_médio_mensal_dos_trabalhadores_formais,População_ocupada,Taxa_de_escolarização_de_6_a_14_anos_de_idade,Mortalidade_Infantil,Esgotamento_sanitário_adequado
Lagoa dos Gatos,70.06,2.0,3.6,96.5,9.09,45.0
Lagoa Grande,12.31,1.4,12.8,96.3,10.81,40.4
Lajedo,193.7,1.5,10.9,97.9,17.24,63.9
Limoeiro,202.53,1.7,14.0,98.0,7.68,44.8
Macaparana,221.43,1.6,8.3,97.9,5.24,59.4
Machados,226.46,1.5,7.6,82.9,4.72,23.8
Manari,47.56,1.9,3.5,93.4,12.1,5.6
Maraial,61.19,1.3,11.3,94.1,4.17,22.3
Mirandiba,17.41,1.8,5.1,95.8,12.2,54.2
Moreno,289.16,1.9,10.2,95.8,15.83,52.3
Nazaré da Mata,204.95,1.6,15.6,96.1,16.13,77.7
Olinda,9063.58,1.8,21.1,96.9,10.23,56.6
Orobó,164.99,1.7,7.0,97.2,3.8,20.3
Orocó,23.76,1.9,6.2,98.0,17.73,36.9
Ouricuri,26.56,1.9,7.2,92.4,11.97,58.3
Palmares,175.44,1.8,11.4,96.3,15.04,55.9
Palmeirina,51.82,1.8,5.3,94.0,27.27,51.0
Panelas,69.14,1.4,7.5,98.6,13.89,55.0
Paranatama,47.65,1.5,6.7,97.9,4.65,4.6
Parnamirim,7.79,1.2,8.2,97.0,18.8,33.9
Passira,87.61,1.6,6.1,95.9,10.36,17.3
Paudalho,185.06,1.6,7.9,96.7,13.55,31.5
Paulista,3087.66,1.9,10.8,97.9,12.61,60.8
Pedra,26.08,1.7,4.3,92.0,14.29,41.4
Pesqueira,63.21,1.7,8.8,97.4,8.19,60.8
Petrolândia,30.75,2.2,12.9,96.0,7.79,69.7
Petrolina,64.44,2.2,20.1,97.0,15.3,72.7
Poção,45.56,1.6,8.5,97.0,21.9,43.8
Pombos,118.35,1.7,10.3,95.0,17.86,66.1
Primavera,121.97,1.6,6.2,96.7,6.8,44.9
Quipapá,104.88,1.7,5.3,97.2,10.56,47.4
Quixaba,31.98,1.7,5.8,99.2,11.49,28.0
Recife,7039.64,3.3,43.1,97.1,10.83,69.2
Riacho das Almas,61.02,1.7,7.3,93.4,9.55,49.4
Ribeirão,154.35,1.8,8.2,92.9,11.29,64.8
Rio Formoso,97.39,1.6,33.1,89.5,14.88,32.5
Sairé,59.36,1.8,11.2,97.7,8.7,30.1
Salgadinho,106.77,1.8,5.2,87.6,27.78,14.4
Salgueiro,33.57,1.9,12.6,96.7,15.2,62.8
Saloá,60.73,1.6,4.5,97.4,13.64,36.4
Sanharó,81.71,1.7,5.2,93.2,17.54,50.0
Santa Cruz,10.82,1.7,4.6,97.5,25.0,25.3
Santa Cruz da Baixa Verde,102.39,1.7,8.1,97.8,26.46,43.4
Santa Cruz do Capibaribe,261.2,1.5,15.0,95.7,16.86,87.6
Santa Filomena,13.3,1.7,5.5,97.0,17.96,8.6
Santa Maria da Boa Vista,13.14,2.2,5.7,97.4,8.76,40.1
Santa Maria do Cambucá,141.31,1.9,5.5,96.4,14.71,23.2
Santa Terezinha,56.2,1.5,7.7,97.8,12.2,49.5
São Benedito do Sul,86.87,1.7,5.2,83.7,11.49,23.9
São Bento do Una,74.03,1.7,8.3,93.0,8.45,45.7
São Caitano,92.23,1.6,8.8,97.2,9.12,50.2
São João,82.5,1.5,6.3,96.3,12.99,25.7
São Joaquim do Monte,88.39,1.7,4.5,94.2,3.26,64.7
São José da Coroa Grande,262.19,1.6,8.5,95.8,11.9,4.3
São José do Belmonte,22.13,1.7,7.9,96.2,9.03,33.9
São José do Egito,39.84,1.7,8.9,98.9,6.54,63.2
São Lourenço da Mata,392.57,2.0,9.7,97.1,10.63,38.4
São Vicente Férrer,149.14,1.8,6.7,95.2,7.52,55.8
Serra Talhada,26.59,1.7,14.1,96.7,12.72,70.2
Serrita,11.92,1.4,5.4,98.1,32.26,34.4
Sertânia,13.95,1.9,12.7,94.6,10.03,56.3
Sirinhaém,107.57,1.8,19.3,94.1,17.45,33.4
Moreilândia,27.52,1.6,7.2,96.8,14.49,11.2
Solidão,41.5,1.5,7.4,96.9,11.36,36.4
Surubim,231.42,1.7,10.9,97.8,9.48,58.0
Tabira,68.11,1.7,7.9,97.2,7.54,70.7
Tacaimbó,55.91,1.6,6.9,94.4,20.13,53.6
